curr1;curr2;rate;;;;;
CHW;JPY;834;; ('CHW', 'JPY', 834),;;;('CHW', 'JPY', 834),
CHW;KES;774;; ('CHW', 'KES', 774),;;;('CHW', 'KES', 774),
CHW;KGS;931;; ('CHW', 'KGS', 931),;;;('CHW', 'KGS', 931),
CHW;KHR;854;; ('CHW', 'KHR', 854),;;;('CHW', 'KHR', 854),
CHW;KMF;382;; ('CHW', 'KMF', 382),;;;('CHW', 'KMF', 382),
CHW;KPW;482;; ('CHW', 'KPW', 482),;;;('CHW', 'KPW', 482),
CHW;KRW;68;; ('CHW', 'KRW', 68),;;;('CHW', 'KRW', 68),
CHW;KWD;530;; ('CHW', 'KWD', 530),;;;('CHW', 'KWD', 530),
CHW;KYD;196;; ('CHW', 'KYD', 196),;;;('CHW', 'KYD', 196),
CHW;KZT;361;; ('CHW', 'KZT', 361),;;;('CHW', 'KZT', 361),
CHW;LAK;362;; ('CHW', 'LAK', 362),;;;('CHW', 'LAK', 362),
CHW;LBP;615;; ('CHW', 'LBP', 615),;;;('CHW', 'LBP', 615),
CHW;LKR;456;; ('CHW', 'LKR', 456),;;;('CHW', 'LKR', 456),
CHW;LRD;218;; ('CHW', 'LRD', 218),;;;('CHW', 'LRD', 218),
CHW;LSL;54;; ('CHW', 'LSL', 54),;;;('CHW', 'LSL', 54),
CHW;LYD;765;; ('CHW', 'LYD', 765),;;;('CHW', 'LYD', 765),
CHW;MAD;805;; ('CHW', 'MAD', 805),;;;('CHW', 'MAD', 805),
CHW;MDL;426;; ('CHW', 'MDL', 426),;;;('CHW', 'MDL', 426),
CHW;MGA;487;; ('CHW', 'MGA', 487),;;;('CHW', 'MGA', 487),
CHW;MKD;400;; ('CHW', 'MKD', 400),;;;('CHW', 'MKD', 400),
CHW;MMK;231;; ('CHW', 'MMK', 231),;;;('CHW', 'MMK', 231),
CHW;MNT;316;; ('CHW', 'MNT', 316),;;;('CHW', 'MNT', 316),
CHW;MOP;279;; ('CHW', 'MOP', 279),;;;('CHW', 'MOP', 279),
CHW;MRU;644;; ('CHW', 'MRU', 644),;;;('CHW', 'MRU', 644),
CHW;MUR;778;; ('CHW', 'MUR', 778),;;;('CHW', 'MUR', 778),
CHW;MVR;469;; ('CHW', 'MVR', 469),;;;('CHW', 'MVR', 469),
CHW;MWK;394;; ('CHW', 'MWK', 394),;;;('CHW', 'MWK', 394),
CHW;MXN;846;; ('CHW', 'MXN', 846),;;;('CHW', 'MXN', 846),
CHW;MXV;250;; ('CHW', 'MXV', 250),;;;('CHW', 'MXV', 250),
CHW;MYR;326;; ('CHW', 'MYR', 326),;;;('CHW', 'MYR', 326),
CHW;MZN;174;; ('CHW', 'MZN', 174),;;;('CHW', 'MZN', 174),
CHW;NAD;880;; ('CHW', 'NAD', 880),;;;('CHW', 'NAD', 880),
CHW;NGN;905;; ('CHW', 'NGN', 905),;;;('CHW', 'NGN', 905),
CHW;NIO;593;; ('CHW', 'NIO', 593),;;;('CHW', 'NIO', 593),
CHW;NOK;935;; ('CHW', 'NOK', 935),;;;('CHW', 'NOK', 935),
CHW;NPR;925;; ('CHW', 'NPR', 925),;;;('CHW', 'NPR', 925),
CHW;NZD;644;; ('CHW', 'NZD', 644),;;;('CHW', 'NZD', 644),
CHW;OMR;150;; ('CHW', 'OMR', 150),;;;('CHW', 'OMR', 150),
CHW;PAB;614;; ('CHW', 'PAB', 614),;;;('CHW', 'PAB', 614),
CHW;PEN;518;; ('CHW', 'PEN', 518),;;;('CHW', 'PEN', 518),
CHW;PGK;666;; ('CHW', 'PGK', 666),;;;('CHW', 'PGK', 666),
CHW;PHP;310;; ('CHW', 'PHP', 310),;;;('CHW', 'PHP', 310),
CHW;PKR;613;; ('CHW', 'PKR', 613),;;;('CHW', 'PKR', 613),
CHW;PLN;974;; ('CHW', 'PLN', 974),;;;('CHW', 'PLN', 974),
CHW;PYG;699;; ('CHW', 'PYG', 699),;;;('CHW', 'PYG', 699),
CHW;QAR;141;; ('CHW', 'QAR', 141),;;;('CHW', 'QAR', 141),
CHW;RON;595;; ('CHW', 'RON', 595),;;;('CHW', 'RON', 595),
CHW;RSD;541;; ('CHW', 'RSD', 541),;;;('CHW', 'RSD', 541),
CHW;CNY;149;; ('CHW', 'CNY', 149),;;;('CHW', 'CNY', 149),
CHW;RUB;939;; ('CHW', 'RUB', 939),;;;('CHW', 'RUB', 939),
CHW;RWF;387;; ('CHW', 'RWF', 387),;;;('CHW', 'RWF', 387),
CHW;SAR;730;; ('CHW', 'SAR', 730),;;;('CHW', 'SAR', 730),
CHW;SBD;546;; ('CHW', 'SBD', 546),;;;('CHW', 'SBD', 546),
CHW;SCR;433;; ('CHW', 'SCR', 433),;;;('CHW', 'SCR', 433),
CHW;SDG;315;; ('CHW', 'SDG', 315),;;;('CHW', 'SDG', 315),
CHW;SEK;403;; ('CHW', 'SEK', 403),;;;('CHW', 'SEK', 403),
CHW;SGD;189;; ('CHW', 'SGD', 189),;;;('CHW', 'SGD', 189),
CHW;SHP;339;; ('CHW', 'SHP', 339),;;;('CHW', 'SHP', 339),
CHW;SLE;152;; ('CHW', 'SLE', 152),;;;('CHW', 'SLE', 152),
CHW;SLL;902;; ('CHW', 'SLL', 902),;;;('CHW', 'SLL', 902),
CHW;SOS;570;; ('CHW', 'SOS', 570),;;;('CHW', 'SOS', 570),
CHW;SRD;750;; ('CHW', 'SRD', 750),;;;('CHW', 'SRD', 750),
CHW;SSP;447;; ('CHW', 'SSP', 447),;;;('CHW', 'SSP', 447),
CHW;STN;463;; ('CHW', 'STN', 463),;;;('CHW', 'STN', 463),
CHW;SVC;412;; ('CHW', 'SVC', 412),;;;('CHW', 'SVC', 412),
CHW;SYP;515;; ('CHW', 'SYP', 515),;;;('CHW', 'SYP', 515),
CHW;SZL;795;; ('CHW', 'SZL', 795),;;;('CHW', 'SZL', 795),
CHW;THB;195;; ('CHW', 'THB', 195),;;;('CHW', 'THB', 195),
CHW;TJS;605;; ('CHW', 'TJS', 605),;;;('CHW', 'TJS', 605),
CHW;TMT;118;; ('CHW', 'TMT', 118),;;;('CHW', 'TMT', 118),
CHW;TND;965;; ('CHW', 'TND', 965),;;;('CHW', 'TND', 965),
CHW;TOP;695;; ('CHW', 'TOP', 695),;;;('CHW', 'TOP', 695),
CHW;TRY;519;; ('CHW', 'TRY', 519),;;;('CHW', 'TRY', 519),
CHW;TTD;805;; ('CHW', 'TTD', 805),;;;('CHW', 'TTD', 805),
CHW;TWD;162;; ('CHW', 'TWD', 162),;;;('CHW', 'TWD', 162),
CHW;TZS;560;; ('CHW', 'TZS', 560),;;;('CHW', 'TZS', 560),
CHW;UAH;230;; ('CHW', 'UAH', 230),;;;('CHW', 'UAH', 230),
CHW;UGX;491;; ('CHW', 'UGX', 491),;;;('CHW', 'UGX', 491),
CHW;USD;60;; ('CHW', 'USD', 60),;;;('CHW', 'USD', 60),
CHW;USN;591;; ('CHW', 'USN', 591),;;;('CHW', 'USN', 591),
CHW;UYI;270;; ('CHW', 'UYI', 270),;;;('CHW', 'UYI', 270),
CHW;UYU;338;; ('CHW', 'UYU', 338),;;;('CHW', 'UYU', 338),
CHW;UYW;780;; ('CHW', 'UYW', 780),;;;('CHW', 'UYW', 780),
CHW;UZS;850;; ('CHW', 'UZS', 850),;;;('CHW', 'UZS', 850),
CHW;VED;559;; ('CHW', 'VED', 559),;;;('CHW', 'VED', 559),
CHW;VES;210;; ('CHW', 'VES', 210),;;;('CHW', 'VES', 210),
CHW;VND;379;; ('CHW', 'VND', 379),;;;('CHW', 'VND', 379),
CHW;VUV;944;; ('CHW', 'VUV', 944),;;;('CHW', 'VUV', 944),
CHW;WST;504;; ('CHW', 'WST', 504),;;;('CHW', 'WST', 504),
CHW;XAF;662;; ('CHW', 'XAF', 662),;;;('CHW', 'XAF', 662),
CHW;XAG;901;; ('CHW', 'XAG', 901),;;;('CHW', 'XAG', 901),
CHW;XAU;186;; ('CHW', 'XAU', 186),;;;('CHW', 'XAU', 186),
CHW;XBA;591;; ('CHW', 'XBA', 591),;;;('CHW', 'XBA', 591),
CHW;XBB;643;; ('CHW', 'XBB', 643),;;;('CHW', 'XBB', 643),
CHW;XBC;344;; ('CHW', 'XBC', 344),;;;('CHW', 'XBC', 344),
CHW;XBD;611;; ('CHW', 'XBD', 611),;;;('CHW', 'XBD', 611),
CHW;XCD;662;; ('CHW', 'XCD', 662),;;;('CHW', 'XCD', 662),
CHW;XDR;210;; ('CHW', 'XDR', 210),;;;('CHW', 'XDR', 210),
CHW;XOF;860;; ('CHW', 'XOF', 860),;;;('CHW', 'XOF', 860),
CHW;XPD;592;; ('CHW', 'XPD', 592),;;;('CHW', 'XPD', 592),
CHW;XPF;455;; ('CHW', 'XPF', 455),;;;('CHW', 'XPF', 455),
CHW;XPT;102;; ('CHW', 'XPT', 102),;;;('CHW', 'XPT', 102),
CHW;XSU;672;; ('CHW', 'XSU', 672),;;;('CHW', 'XSU', 672),
CHW;XTS;766;; ('CHW', 'XTS', 766),;;;('CHW', 'XTS', 766),
CHW;XUA;213;; ('CHW', 'XUA', 213),;;;('CHW', 'XUA', 213),
CHW;XXX;458;; ('CHW', 'XXX', 458),;;;('CHW', 'XXX', 458),
CHW;YER;328;; ('CHW', 'YER', 328),;;;('CHW', 'YER', 328),
CHW;ZAR;192;; ('CHW', 'ZAR', 192),;;;('CHW', 'ZAR', 192),
CHW;ZMW;969;; ('CHW', 'ZMW', 969),;;;('CHW', 'ZMW', 969),
CHW;ZWL;520;; ('CHW', 'ZWL', 520),;;;('CHW', 'ZWL', 520),
CLF;AED;0.0036364;; ('CLF', 'AED', 0.0036364),;;;('CLF', 'AED', 0.0036364),
CLF;AFN;0.0024510;; ('CLF', 'AFN', 0.0024510),;;;('CLF', 'AFN', 0.0024510),
CLF;ALL;0.0012330;; ('CLF', 'ALL', 0.0012330),;;;('CLF', 'ALL', 0.0012330),
CLF;AMD;0.0013495;; ('CLF', 'AMD', 0.0013495),;;;('CLF', 'AMD', 0.0013495),
CLF;ANG;0.0010204;; ('CLF', 'ANG', 0.0010204),;;;('CLF', 'ANG', 0.0010204),
CLF;AOA;0.0011416;; ('CLF', 'AOA', 0.0011416),;;;('CLF', 'AOA', 0.0011416),
CLF;ARS;0.0025773;; ('CLF', 'ARS', 0.0025773),;;;('CLF', 'ARS', 0.0025773),
CLF;AUD;0.0010030;; ('CLF', 'AUD', 0.0010030),;;;('CLF', 'AUD', 0.0010030),
CLF;AWG;0.0051546;; ('CLF', 'AWG', 0.0051546),;;;('CLF', 'AWG', 0.0051546),
CLF;AZN;0.0060606;; ('CLF', 'AZN', 0.0060606),;;;('CLF', 'AZN', 0.0060606),
CLF;BAM;0.0023753;; ('CLF', 'BAM', 0.0023753),;;;('CLF', 'BAM', 0.0023753),
CLF;BBD;0.0012870;; ('CLF', 'BBD', 0.0012870),;;;('CLF', 'BBD', 0.0012870),
CLF;BDT;0.0023202;; ('CLF', 'BDT', 0.0023202),;;;('CLF', 'BDT', 0.0023202),
CLF;BGN;0.0014006;; ('CLF', 'BGN', 0.0014006),;;;('CLF', 'BGN', 0.0014006),
CLF;BHD;0.0021882;; ('CLF', 'BHD', 0.0021882),;;;('CLF', 'BHD', 0.0021882),
CLF;BIF;0.0034602;; ('CLF', 'BIF', 0.0034602),;;;('CLF', 'BIF', 0.0034602),
CLF;BMD;0.0010537;; ('CLF', 'BMD', 0.0010537),;;;('CLF', 'BMD', 0.0010537),
CLF;BND;0.0018416;; ('CLF', 'BND', 0.0018416),;;;('CLF', 'BND', 0.0018416),
CLF;BOB;0.0013550;; ('CLF', 'BOB', 0.0013550),;;;('CLF', 'BOB', 0.0013550),
CLF;BOV;0.0119048;; ('CLF', 'BOV', 0.0119048),;;;('CLF', 'BOV', 0.0119048),
CLF;BRL;0.0048077;; ('CLF', 'BRL', 0.0048077),;;;('CLF', 'BRL', 0.0048077),
CLF;BSD;0.0151515;; ('CLF', 'BSD', 0.0151515),;;;('CLF', 'BSD', 0.0151515),
CLF;BTN;0.0010560;; ('CLF', 'BTN', 0.0010560),;;;('CLF', 'BTN', 0.0010560),
CLF;BWP;0.0043668;; ('CLF', 'BWP', 0.0043668),;;;('CLF', 'BWP', 0.0043668),
CLF;BYN;0.0065359;; ('CLF', 'BYN', 0.0065359),;;;('CLF', 'BYN', 0.0065359),
CLF;BZD;0.0010718;; ('CLF', 'BZD', 0.0010718),;;;('CLF', 'BZD', 0.0010718),
CLF;CAD;0.2;; ('CLF', 'CAD', 0.2),;;;('CLF', 'CAD', 0.2),
CLF;CDF;0.0032895;; ('CLF', 'CDF', 0.0032895),;;;('CLF', 'CDF', 0.0032895),
CLF;CHE;0.0085470;; ('CLF', 'CHE', 0.0085470),;;;('CLF', 'CHE', 0.0085470),
CLF;CHF;0.0048077;; ('CLF', 'CHF', 0.0048077),;;;('CLF', 'CHF', 0.0048077),
CLF;CHW;0.0018727;; ('CLF', 'CHW', 0.0018727),;;;('CLF', 'CHW', 0.0018727),
CLF;CLF;1;; ('CLF', 'CLF', 1),;;;('CLF', 'CLF', 1),
CLF;CLP;52;; ('CLF', 'CLP', 52),;;;('CLF', 'CLP', 52),
CLF;COP;535;; ('CLF', 'COP', 535),;;;('CLF', 'COP', 535),
CLF;COU;201;; ('CLF', 'COU', 201),;;;('CLF', 'COU', 201),
CLF;CRC;297;; ('CLF', 'CRC', 297),;;;('CLF', 'CRC', 297),
CLF;CUP;401;; ('CLF', 'CUP', 401),;;;('CLF', 'CUP', 401),
CLF;CVE;329;; ('CLF', 'CVE', 329),;;;('CLF', 'CVE', 329),
CLF;CZK;696;; ('CLF', 'CZK', 696),;;;('CLF', 'CZK', 696),
CLF;DJF;577;; ('CLF', 'DJF', 577),;;;('CLF', 'DJF', 577),
CLF;DKK;552;; ('CLF', 'DKK', 552),;;;('CLF', 'DKK', 552),
CLF;DOP;794;; ('CLF', 'DOP', 794),;;;('CLF', 'DOP', 794),
CLF;DZD;444;; ('CLF', 'DZD', 444),;;;('CLF', 'DZD', 444),
CLF;EGP;336;; ('CLF', 'EGP', 336),;;;('CLF', 'EGP', 336),
CLF;ERN;289;; ('CLF', 'ERN', 289),;;;('CLF', 'ERN', 289),
CLF;ETB;57;; ('CLF', 'ETB', 57),;;;('CLF', 'ETB', 57),
CLF;EUR;753;; ('CLF', 'EUR', 753),;;;('CLF', 'EUR', 753),
CLF;FJD;97;; ('CLF', 'FJD', 97),;;;('CLF', 'FJD', 97),
CLF;FKP;54;; ('CLF', 'FKP', 54),;;;('CLF', 'FKP', 54),
CLF;GBP;470;; ('CLF', 'GBP', 470),;;;('CLF', 'GBP', 470),
CLF;GEL;325;; ('CLF', 'GEL', 325),;;;('CLF', 'GEL', 325),
CLF;GHS;55;; ('CLF', 'GHS', 55),;;;('CLF', 'GHS', 55),
CLF;GIP;111;; ('CLF', 'GIP', 111),;;;('CLF', 'GIP', 111),
CLF;GMD;960;; ('CLF', 'GMD', 960),;;;('CLF', 'GMD', 960),
CLF;GNF;362;; ('CLF', 'GNF', 362),;;;('CLF', 'GNF', 362),
CLF;GTQ;299;; ('CLF', 'GTQ', 299),;;;('CLF', 'GTQ', 299),
CLF;GYD;450;; ('CLF', 'GYD', 450),;;;('CLF', 'GYD', 450),
CLF;HKD;677;; ('CLF', 'HKD', 677),;;;('CLF', 'HKD', 677),
CLF;HNL;943;; ('CLF', 'HNL', 943),;;;('CLF', 'HNL', 943),
CLF;HTG;405;; ('CLF', 'HTG', 405),;;;('CLF', 'HTG', 405),
CLF;HUF;682;; ('CLF', 'HUF', 682),;;;('CLF', 'HUF', 682),
CLF;IDR;284;; ('CLF', 'IDR', 284),;;;('CLF', 'IDR', 284),
CLF;ILS;17;; ('CLF', 'ILS', 17),;;;('CLF', 'ILS', 17),
CLF;INR;423;; ('CLF', 'INR', 423),;;;('CLF', 'INR', 423),
CLF;IQD;223;; ('CLF', 'IQD', 223),;;;('CLF', 'IQD', 223),
CLF;IRR;889;; ('CLF', 'IRR', 889),;;;('CLF', 'IRR', 889),
CLF;ISK;344;; ('CLF', 'ISK', 344),;;;('CLF', 'ISK', 344),
CLF;JMD;910;; ('CLF', 'JMD', 910),;;;('CLF', 'JMD', 910),
CLF;JOD;992;; ('CLF', 'JOD', 992),;;;('CLF', 'JOD', 992),
CLF;JPY;591;; ('CLF', 'JPY', 591),;;;('CLF', 'JPY', 591),
CLF;KES;667;; ('CLF', 'KES', 667),;;;('CLF', 'KES', 667),
CLF;KGS;620;; ('CLF', 'KGS', 620),;;;('CLF', 'KGS', 620),
CLF;KHR;719;; ('CLF', 'KHR', 719),;;;('CLF', 'KHR', 719),
CLF;KMF;298;; ('CLF', 'KMF', 298),;;;('CLF', 'KMF', 298),
CLF;KPW;812;; ('CLF', 'KPW', 812),;;;('CLF', 'KPW', 812),
CLF;KRW;58;; ('CLF', 'KRW', 58),;;;('CLF', 'KRW', 58),
CLF;KWD;741;; ('CLF', 'KWD', 741),;;;('CLF', 'KWD', 741),
CLF;KYD;401;; ('CLF', 'KYD', 401),;;;('CLF', 'KYD', 401),
CLF;KZT;942;; ('CLF', 'KZT', 942),;;;('CLF', 'KZT', 942),
CLF;LAK;937;; ('CLF', 'LAK', 937),;;;('CLF', 'LAK', 937),
CLF;LBP;931;; ('CLF', 'LBP', 931),;;;('CLF', 'LBP', 931),
CLF;LKR;406;; ('CLF', 'LKR', 406),;;;('CLF', 'LKR', 406),
CLF;LRD;769;; ('CLF', 'LRD', 769),;;;('CLF', 'LRD', 769),
CLF;LSL;601;; ('CLF', 'LSL', 601),;;;('CLF', 'LSL', 601),
CLF;LYD;495;; ('CLF', 'LYD', 495),;;;('CLF', 'LYD', 495),
CLF;MAD;735;; ('CLF', 'MAD', 735),;;;('CLF', 'MAD', 735),
CLF;MDL;607;; ('CLF', 'MDL', 607),;;;('CLF', 'MDL', 607),
CLF;MGA;851;; ('CLF', 'MGA', 851),;;;('CLF', 'MGA', 851),
CLF;MKD;612;; ('CLF', 'MKD', 612),;;;('CLF', 'MKD', 612),
CLF;MMK;73;; ('CLF', 'MMK', 73),;;;('CLF', 'MMK', 73),
CLF;MNT;900;; ('CLF', 'MNT', 900),;;;('CLF', 'MNT', 900),
CLF;MOP;331;; ('CLF', 'MOP', 331),;;;('CLF', 'MOP', 331),
CLF;MRU;818;; ('CLF', 'MRU', 818),;;;('CLF', 'MRU', 818),
CLF;MUR;878;; ('CLF', 'MUR', 878),;;;('CLF', 'MUR', 878),
CLF;MVR;237;; ('CLF', 'MVR', 237),;;;('CLF', 'MVR', 237),
CLF;MWK;857;; ('CLF', 'MWK', 857),;;;('CLF', 'MWK', 857),
CLF;MXN;419;; ('CLF', 'MXN', 419),;;;('CLF', 'MXN', 419),
CLF;MXV;464;; ('CLF', 'MXV', 464),;;;('CLF', 'MXV', 464),
CLF;MYR;981;; ('CLF', 'MYR', 981),;;;('CLF', 'MYR', 981),
CLF;MZN;70;; ('CLF', 'MZN', 70),;;;('CLF', 'MZN', 70),
CLF;NAD;442;; ('CLF', 'NAD', 442),;;;('CLF', 'NAD', 442),
CLF;NGN;654;; ('CLF', 'NGN', 654),;;;('CLF', 'NGN', 654),
CLF;NIO;208;; ('CLF', 'NIO', 208),;;;('CLF', 'NIO', 208),
CLF;NOK;644;; ('CLF', 'NOK', 644),;;;('CLF', 'NOK', 644),
CLF;NPR;913;; ('CLF', 'NPR', 913),;;;('CLF', 'NPR', 913),
CLF;NZD;119;; ('CLF', 'NZD', 119),;;;('CLF', 'NZD', 119),
CLF;OMR;319;; ('CLF', 'OMR', 319),;;;('CLF', 'OMR', 319),
CLF;PAB;772;; ('CLF', 'PAB', 772),;;;('CLF', 'PAB', 772),
CLF;PEN;213;; ('CLF', 'PEN', 213),;;;('CLF', 'PEN', 213),
CLF;PGK;479;; ('CLF', 'PGK', 479),;;;('CLF', 'PGK', 479),
CLF;PHP;231;; ('CLF', 'PHP', 231),;;;('CLF', 'PHP', 231),
CLF;PKR;139;; ('CLF', 'PKR', 139),;;;('CLF', 'PKR', 139),
CLF;PLN;219;; ('CLF', 'PLN', 219),;;;('CLF', 'PLN', 219),
CLF;PYG;166;; ('CLF', 'PYG', 166),;;;('CLF', 'PYG', 166),
CLF;QAR;196;; ('CLF', 'QAR', 196),;;;('CLF', 'QAR', 196),
CLF;RON;891;; ('CLF', 'RON', 891),;;;('CLF', 'RON', 891),
CLF;RSD;725;; ('CLF', 'RSD', 725),;;;('CLF', 'RSD', 725),
CLF;CNY;47;; ('CLF', 'CNY', 47),;;;('CLF', 'CNY', 47),
CLF;RUB;986;; ('CLF', 'RUB', 986),;;;('CLF', 'RUB', 986),
CLF;RWF;451;; ('CLF', 'RWF', 451),;;;('CLF', 'RWF', 451),
CLF;SAR;540;; ('CLF', 'SAR', 540),;;;('CLF', 'SAR', 540),
CLF;SBD;852;; ('CLF', 'SBD', 852),;;;('CLF', 'SBD', 852),
CLF;SCR;280;; ('CLF', 'SCR', 280),;;;('CLF', 'SCR', 280),
CLF;SDG;544;; ('CLF', 'SDG', 544),;;;('CLF', 'SDG', 544),
CLF;SEK;359;; ('CLF', 'SEK', 359),;;;('CLF', 'SEK', 359),
CLF;SGD;959;; ('CLF', 'SGD', 959),;;;('CLF', 'SGD', 959),
CLF;SHP;763;; ('CLF', 'SHP', 763),;;;('CLF', 'SHP', 763),
CLF;SLE;590;; ('CLF', 'SLE', 590),;;;('CLF', 'SLE', 590),
CLF;SLL;136;; ('CLF', 'SLL', 136),;;;('CLF', 'SLL', 136),
CLF;SOS;506;; ('CLF', 'SOS', 506),;;;('CLF', 'SOS', 506),
CLF;SRD;840;; ('CLF', 'SRD', 840),;;;('CLF', 'SRD', 840),
CLF;SSP;628;; ('CLF', 'SSP', 628),;;;('CLF', 'SSP', 628),
CLF;STN;780;; ('CLF', 'STN', 780),;;;('CLF', 'STN', 780),
CLF;SVC;898;; ('CLF', 'SVC', 898),;;;('CLF', 'SVC', 898),
CLF;SYP;241;; ('CLF', 'SYP', 241),;;;('CLF', 'SYP', 241),
CLF;SZL;117;; ('CLF', 'SZL', 117),;;;('CLF', 'SZL', 117),
CLF;THB;792;; ('CLF', 'THB', 792),;;;('CLF', 'THB', 792),
CLF;TJS;736;; ('CLF', 'TJS', 736),;;;('CLF', 'TJS', 736),
CLF;TMT;307;; ('CLF', 'TMT', 307),;;;('CLF', 'TMT', 307),
CLF;TND;476;; ('CLF', 'TND', 476),;;;('CLF', 'TND', 476),
CLF;TOP;280;; ('CLF', 'TOP', 280),;;;('CLF', 'TOP', 280),
CLF;TRY;186;; ('CLF', 'TRY', 186),;;;('CLF', 'TRY', 186),
CLF;TTD;525;; ('CLF', 'TTD', 525),;;;('CLF', 'TTD', 525),
CLF;TWD;657;; ('CLF', 'TWD', 657),;;;('CLF', 'TWD', 657),
CLF;TZS;712;; ('CLF', 'TZS', 712),;;;('CLF', 'TZS', 712),
CLF;UAH;149;; ('CLF', 'UAH', 149),;;;('CLF', 'UAH', 149),
CLF;UGX;243;; ('CLF', 'UGX', 243),;;;('CLF', 'UGX', 243),
CLF;USD;115;; ('CLF', 'USD', 115),;;;('CLF', 'USD', 115),
CLF;USN;637;; ('CLF', 'USN', 637),;;;('CLF', 'USN', 637),
CLF;UYI;772;; ('CLF', 'UYI', 772),;;;('CLF', 'UYI', 772),
CLF;UYU;278;; ('CLF', 'UYU', 278),;;;('CLF', 'UYU', 278),
CLF;UYW;867;; ('CLF', 'UYW', 867),;;;('CLF', 'UYW', 867),
CLF;UZS;438;; ('CLF', 'UZS', 438),;;;('CLF', 'UZS', 438),
CLF;VED;533;; ('CLF', 'VED', 533),;;;('CLF', 'VED', 533),
CLF;VES;490;; ('CLF', 'VES', 490),;;;('CLF', 'VES', 490),
CLF;VND;264;; ('CLF', 'VND', 264),;;;('CLF', 'VND', 264),
CLF;VUV;203;; ('CLF', 'VUV', 203),;;;('CLF', 'VUV', 203),
CLF;WST;943;; ('CLF', 'WST', 943),;;;('CLF', 'WST', 943),
CLF;XAF;542;; ('CLF', 'XAF', 542),;;;('CLF', 'XAF', 542),
CLF;XAG;905;; ('CLF', 'XAG', 905),;;;('CLF', 'XAG', 905),
CLF;XAU;444;; ('CLF', 'XAU', 444),;;;('CLF', 'XAU', 444),
CLF;XBA;355;; ('CLF', 'XBA', 355),;;;('CLF', 'XBA', 355),
CLF;XBB;361;; ('CLF', 'XBB', 361),;;;('CLF', 'XBB', 361),
CLF;XBC;150;; ('CLF', 'XBC', 150),;;;('CLF', 'XBC', 150),
CLF;XBD;527;; ('CLF', 'XBD', 527),;;;('CLF', 'XBD', 527),
CLF;XCD;727;; ('CLF', 'XCD', 727),;;;('CLF', 'XCD', 727),
CLF;XDR;30;; ('CLF', 'XDR', 30),;;;('CLF', 'XDR', 30),
CLF;XOF;438;; ('CLF', 'XOF', 438),;;;('CLF', 'XOF', 438),
CLF;XPD;463;; ('CLF', 'XPD', 463),;;;('CLF', 'XPD', 463),
CLF;XPF;919;; ('CLF', 'XPF', 919),;;;('CLF', 'XPF', 919),
CLF;XPT;968;; ('CLF', 'XPT', 968),;;;('CLF', 'XPT', 968),
CLF;XSU;396;; ('CLF', 'XSU', 396),;;;('CLF', 'XSU', 396),
CLF;XTS;364;; ('CLF', 'XTS', 364),;;;('CLF', 'XTS', 364),
CLF;XUA;699;; ('CLF', 'XUA', 699),;;;('CLF', 'XUA', 699),
CLF;XXX;390;; ('CLF', 'XXX', 390),;;;('CLF', 'XXX', 390),
CLF;YER;533;; ('CLF', 'YER', 533),;;;('CLF', 'YER', 533),
CLF;ZAR;850;; ('CLF', 'ZAR', 850),;;;('CLF', 'ZAR', 850),
CLF;ZMW;793;; ('CLF', 'ZMW', 793),;;;('CLF', 'ZMW', 793),
CLF;ZWL;134;; ('CLF', 'ZWL', 134),;;;('CLF', 'ZWL', 134),
CLP;AED;0.0027100;; ('CLP', 'AED', 0.0027100),;;;('CLP', 'AED', 0.0027100),
CLP;AFN;0.0045045;; ('CLP', 'AFN', 0.0045045),;;;('CLP', 'AFN', 0.0045045),
CLP;ALL;0.0015949;; ('CLP', 'ALL', 0.0015949),;;;('CLP', 'ALL', 0.0015949),
CLP;AMD;0.0067114;; ('CLP', 'AMD', 0.0067114),;;;('CLP', 'AMD', 0.0067114),
CLP;ANG;0.0039062;; ('CLP', 'ANG', 0.0039062),;;;('CLP', 'ANG', 0.0039062),
CLP;AOA;0.0053476;; ('CLP', 'AOA', 0.0053476),;;;('CLP', 'AOA', 0.0053476),
CLP;ARS;0.0014859;; ('CLP', 'ARS', 0.0014859),;;;('CLP', 'ARS', 0.0014859),
CLP;AUD;0.0015848;; ('CLP', 'AUD', 0.0015848),;;;('CLP', 'AUD', 0.0015848),
CLP;AWG;0.0035714;; ('CLP', 'AWG', 0.0035714),;;;('CLP', 'AWG', 0.0035714),
CLP;AZN;0.0021739;; ('CLP', 'AZN', 0.0021739),;;;('CLP', 'AZN', 0.0021739),
CLP;BAM;0.0011038;; ('CLP', 'BAM', 0.0011038),;;;('CLP', 'BAM', 0.0011038),
CLP;BBD;0.0025641;; ('CLP', 'BBD', 0.0025641),;;;('CLP', 'BBD', 0.0025641),
CLP;BDT;0.0022173;; ('CLP', 'BDT', 0.0022173),;;;('CLP', 'BDT', 0.0022173),
CLP;BGN;0.0081301;; ('CLP', 'BGN', 0.0081301),;;;('CLP', 'BGN', 0.0081301),
CLP;BHD;0.0105263;; ('CLP', 'BHD', 0.0105263),;;;('CLP', 'BHD', 0.0105263),
CLP;BIF;0.0034014;; ('CLP', 'BIF', 0.0034014),;;;('CLP', 'BIF', 0.0034014),
CLP;BMD;0.0012626;; ('CLP', 'BMD', 0.0012626),;;;('CLP', 'BMD', 0.0012626),
